plot,subplot,datasheet_number,subplot_size,individual_number,species_raw,genus,species,usda_code,growthform,bole_total,bole_n,arm_total,arm_n,measurement_variable,measurement,units,status,total_minishrub,notes,unknown_status,scientific_name_clean,measurement_variable_clean
LOLA_01,4,3,25,3,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,ddh,7,cm,alive,NA,NA,NA,Parkinsonia microphylla,ddh
LOLA_01,4,3,25,3,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,crownD,186,cm,alive,NA,NA,NA,Parkinsonia microphylla,maxD
LOLA_01,4,3,25,3,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,crown90D,174,cm,alive,NA,NA,NA,Parkinsonia microphylla,max90D
LOLA_01,4,3,25,4,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,Height,284,cm,alive,NA,NA,NA,Parkinsonia microphylla,Height
LOLA_01,4,3,25,4,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,dbh,7.1,cm,alive,NA,NA,NA,Parkinsonia microphylla,dbh
LOLA_01,4,3,25,4,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,ddh,10.8,cm,alive,NA,NA,NA,Parkinsonia microphylla,ddh
LOLA_01,4,3,25,4,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,crownD,282,cm,alive,NA,NA,NA,Parkinsonia microphylla,maxD
LOLA_01,4,3,25,4,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,crown90D,283,cm,alive,NA,NA,NA,Parkinsonia microphylla,max90D
LOLA_01,5,4,25,1,FEWI,NA,NA,NA,NA,NA,NA,NA,NA,Height,65,cm,alive,NA,NA,NA,Ferocactus wislizeni,Height
LOLA_01,5,4,25,1,FEWI,NA,NA,NA,NA,NA,NA,NA,NA,MaxDiameter,32,NA,alive,NA,NA,NA,Ferocactus wislizeni,maxD
LOLA_01,6,4,25,1,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,Height,219,cm,alive,NA,NA,NA,Parkinsonia microphylla,Height
LOLA_01,6,4,25,1,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,crownD,162,cm,alive,NA,NA,NA,Parkinsonia microphylla,maxD
LOLA_01,6,4,25,1,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,crown90D,223,cm,alive,NA,NA,NA,Parkinsonia microphylla,max90D
LOLA_01,6,4,25,1,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,ddh,9.1,cm,alive,NA,NA,NA,Parkinsonia microphylla,ddh
LOLA_01,6,4,25,1,PAMI,NA,NA,NA,NA,NA,NA,NA,NA,dbh,2.8,cm,alive,NA,NA,NA,Parkinsonia microphylla,dbh
LOLA_01,7,4,25,1,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,Height,105,cm,alive,NA,NA,NA,Carnegiea gigantea,Height
LOLA_01,7,4,25,1,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,ddh,8,cm,alive,NA,NA,NA,Carnegiea gigantea,ddh
LOLA_01,7,4,25,3,FOSP,NA,NA,NA,NA,NA,NA,NA,NA,Height,409,cm,alive,NA,NA,NA,Fouquieria splendens,Height
LOLA_01,7,4,25,3,FOSP,NA,NA,NA,NA,NA,NA,NA,NA,maxBaseCrownDiameter,14,cm,alive,NA,NA,NA,Fouquieria splendens,maxDbase
LOLA_01,7,4,25,3,FOSP,NA,NA,NA,NA,NA,NA,NA,NA,ninetyBaseCrownDiameter,11,cm,alive,NA,NA,NA,Fouquieria splendens,max90Dbase
LOLA_01,7,4,25,3,FOSP,NA,NA,NA,NA,NA,NA,NA,NA,EmergentStems,4,NA,alive,NA,NA,NA,Fouquieria splendens,EmergentStems
LOLA_01,7,4,25,4,PAMI,NA,NA,NA,NA,3,1,NA,NA,ddh,4.25,cm,alive,NA,NA,NA,Parkinsonia microphylla,ddh
LOLA_01,7,4,25,4,PAMI,NA,NA,NA,NA,3,1,NA,NA,dbh,1.5,cm,alive,NA,NA,NA,Parkinsonia microphylla,dbh
LOLA_01,7,4,25,4,PAMI,NA,NA,NA,NA,3,2,NA,NA,ddh,6.5,cm,alive,NA,NA,NA,Parkinsonia microphylla,ddh
LOLA_01,7,4,25,4,PAMI,NA,NA,NA,NA,3,2,NA,NA,dbh,2.5,cm,alive,NA,NA,NA,Parkinsonia microphylla,dbh
LOLA_01,7,4,25,4,PAMI,NA,NA,NA,NA,3,3,NA,NA,ddh,4,cm,alive,NA,NA,NA,Parkinsonia microphylla,ddh
LOLA_01,7,4,25,4,PAMI,NA,NA,NA,NA,3,3,NA,NA,dbh,1.5,cm,alive,NA,NA,NA,Parkinsonia microphylla,dbh
LOLA_01,7,4,25,4,PAMI,NA,NA,NA,NA,3,NA,NA,NA,Height,234,cm,alive,NA,NA,NA,Parkinsonia microphylla,Height
LOLA_01,7,4,25,4,PAMI,NA,NA,NA,NA,3,NA,NA,NA,crownD,273,cm,alive,NA,NA,NA,Parkinsonia microphylla,maxD
LOLA_01,7,4,25,4,PAMI,NA,NA,NA,NA,3,NA,NA,NA,crown90D,180,cm,alive,NA,NA,NA,Parkinsonia microphylla,max90D
LOLA_01,7,4,25,5,PAMI,NA,NA,NA,NA,2,1,NA,NA,ddh,7.1,cm,alive,NA,NA,NA,Parkinsonia microphylla,ddh
LOLA_01,7,4,25,5,PAMI,NA,NA,NA,NA,2,1,NA,NA,dbh,2,cm,alive,NA,NA,NA,Parkinsonia microphylla,dbh
LOLA_01,7,4,25,5,PAMI,NA,NA,NA,NA,2,2,NA,NA,ddh,5.9,cm,alive,NA,NA,NA,Parkinsonia microphylla,ddh
LOLA_01,7,4,25,5,PAMI,NA,NA,NA,NA,2,2,NA,NA,dbh,1,cm,alive,NA,NA,NA,Parkinsonia microphylla,dbh
LOLA_01,7,4,25,5,PAMI,NA,NA,NA,NA,2,NA,NA,NA,Height,222,cm,alive,NA,NA,NA,Parkinsonia microphylla,Height
LOLA_01,7,4,25,5,PAMI,NA,NA,NA,NA,2,NA,NA,NA,crownD,271,cm,alive,NA,NA,NA,Parkinsonia microphylla,maxD
LOLA_01,7,4,25,5,PAMI,NA,NA,NA,NA,2,NA,NA,NA,crown90D,331,cm,alive,NA,NA,NA,Parkinsonia microphylla,max90D
LOLA_01,7,4,25,6,CYVE,NA,NA,NA,NA,NA,NA,NA,NA,Height,100,cm,alive,NA,NA,NA,Cylindropuntia versicolor,Height
LOLA_01,7,4,25,6,CYVE,NA,NA,NA,NA,NA,NA,NA,NA,maxBaseCrownDiameter,1.5,cm,alive,NA,NA,NA,Cylindropuntia versicolor,maxDbase
LOLA_01,7,4,25,6,CYVE,NA,NA,NA,NA,NA,NA,NA,NA,crownD,49,cm,alive,NA,NA,NA,Cylindropuntia versicolor,maxD
LOLA_01,7,4,25,6,CYVE,NA,NA,NA,NA,NA,NA,NA,NA,crown90D,26,cm,alive,NA,NA,NA,Cylindropuntia versicolor,max90D
LOLA_01,8,4,25,1,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,Height,120,cm,alive,NA,NA,NA,Carnegiea gigantea,Height
LOLA_01,8,4,25,1,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,ddh,9,cm,alive,NA,NA,NA,Carnegiea gigantea,ddh
LOLA_02,whole plot,1,NA,1,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,ddh,21,cm,alive,NA,NA,NA,Carnegiea gigantea,ddh
LOLA_02,whole plot,1,NA,1,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,Height,362,cm,alive,NA,NA,NA,Carnegiea gigantea,Height
LOLA_02,whole plot,1,NA,2A,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,ddh,14,cm,alive,NA,NA,NA,Carnegiea gigantea,ddh
LOLA_02,whole plot,1,NA,2A,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,Height,121,cm,alive,NA,NA,NA,Carnegiea gigantea,Height
LOLA_02,whole plot,1,NA,2B,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,ddh,12,cm,alive,NA,NA,NA,Carnegiea gigantea,ddh
LOLA_02,whole plot,1,NA,2B,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,Height,119,cm,alive,NA,NA,NA,Carnegiea gigantea,Height
LOLA_02,whole plot,1,NA,3,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,ddh,18,cm,alive,NA,NA,NA,Carnegiea gigantea,ddh
LOLA_02,whole plot,1,NA,3,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,Height,140,cm,alive,NA,NA,NA,Carnegiea gigantea,Height
LOLA_02,whole plot,1,NA,4A,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,ddh,22,cm,alive,NA,NA,NA,Carnegiea gigantea,ddh
LOLA_02,whole plot,1,NA,4A,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,Height,350,cm,alive,NA,NA,NA,Carnegiea gigantea,Height
LOLA_02,whole plot,1,NA,4B,CAGI,NA,NA,NA,NA,NA,NA,1,NA,ddh,23,cm,alive,NA,NA,NA,Carnegiea gigantea,ddh
LOLA_02,whole plot,1,NA,4B,CAGI,NA,NA,NA,NA,NA,NA,1,NA,Height,430,cm,alive,NA,NA,NA,Carnegiea gigantea,Height
LOLA_02,whole plot,1,NA,4B,CAGI,NA,NA,NA,NA,NA,NA,1,1,ArmLength1,45,cm,alive,NA,NA,NA,Carnegiea gigantea,ArmLength1
LOLA_02,whole plot,1,NA,5,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,ddh,22,cm,alive,NA,NA,NA,Carnegiea gigantea,ddh
LOLA_02,whole plot,1,NA,5,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,Height,363,cm,alive,NA,NA,NA,Carnegiea gigantea,Height
LOLA_02,whole plot,1,NA,6,CAGI,NA,NA,NA,NA,NA,NA,2,NA,ddh,27,cm,alive,NA,NA,NA,Carnegiea gigantea,ddh
LOLA_02,whole plot,1,NA,6,CAGI,NA,NA,NA,NA,NA,NA,2,NA,distance,5,m,alive,NA,NA,NA,Carnegiea gigantea,Distance
LOLA_02,whole plot,1,NA,6,CAGI,NA,NA,NA,NA,NA,NA,2,NA,AlphaUp,35,NA,alive,NA,NA,NA,Carnegiea gigantea,AlphaUp
LOLA_02,whole plot,1,NA,6,CAGI,NA,NA,NA,NA,NA,NA,2,NA,AlphaDown,19,NA,alive,NA,NA,NA,Carnegiea gigantea,AlphaDown
LOLA_02,whole plot,1,NA,6,CAGI,NA,NA,NA,NA,NA,NA,2,NA,Height,522,cm,alive,NA,NA,NA,Carnegiea gigantea,Height
LOLA_02,whole plot,1,NA,6,CAGI,NA,NA,NA,NA,NA,NA,2,1,ArmLength1,83,cm,alive,NA,NA,NA,Carnegiea gigantea,ArmLength1
LOLA_02,whole plot,1,NA,6,CAGI,NA,NA,NA,NA,NA,NA,2,2,ArmLength2,168,cm,alive,NA,NA,NA,Carnegiea gigantea,ArmLength2
LOLA_02,whole plot,1,NA,7A,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,ddh,17,cm,alive,NA,NA,NA,Carnegiea gigantea,ddh
LOLA_02,whole plot,1,NA,7A,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,Height,183,cm,alive,NA,NA,NA,Carnegiea gigantea,Height
LOLA_02,whole plot,1,NA,7B,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,ddh,10,cm,alive,NA,NA,NA,Carnegiea gigantea,ddh
LOLA_02,whole plot,1,NA,7B,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,Height,143,cm,alive,NA,NA,NA,Carnegiea gigantea,Height
LOLA_02,whole plot,1,NA,8A,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,ddh,12,cm,alive,NA,NA,NA,Carnegiea gigantea,ddh
LOLA_02,whole plot,1,NA,8A,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,Height,153,cm,alive,NA,NA,NA,Carnegiea gigantea,Height
LOLA_02,whole plot,1,NA,8B,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,ddh,28,cm,alive,NA,NA,NA,Carnegiea gigantea,ddh
LOLA_02,whole plot,1,NA,8B,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,Height,450,cm,alive,NA,NA,NA,Carnegiea gigantea,Height
LOLA_02,whole plot,1,NA,9A,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,ddh,14,cm,alive,NA,NA,NA,Carnegiea gigantea,ddh
LOLA_02,whole plot,1,NA,9A,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,Height,209,cm,alive,NA,NA,NA,Carnegiea gigantea,Height
LOLA_02,whole plot,1,NA,9B,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,ddh,17,cm,alive,NA,NA,NA,Carnegiea gigantea,ddh
LOLA_02,whole plot,1,NA,9B,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,Height,369,cm,alive,NA,NA,NA,Carnegiea gigantea,Height
LOLA_02,whole plot,1,NA,10A,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,ddh,19,cm,alive,NA,NA,NA,Carnegiea gigantea,ddh
LOLA_02,whole plot,1,NA,10A,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,Height,334,cm,alive,NA,NA,NA,Carnegiea gigantea,Height
LOLA_02,whole plot,1,NA,10B,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,ddh,15,cm,alive,NA,NA,NA,Carnegiea gigantea,ddh
LOLA_02,whole plot,1,NA,10B,CAGI,NA,NA,NA,NA,NA,NA,NA,NA,Height,237,cm,alive,NA,NA,NA,Carnegiea gigantea,Height
