sample_number,plot,sub_plot,bag_number,number_of_bags_per_clip,bag_size,empty_bag_weight,total_sample_weight_with_bag,biomass_g
63,Lola_01,8,NA,1,small,12.24,100.27,88.03
64,Lola_02,2,NA,1,small,12.24,27.46,15.22
65,Lola_02,3,NA,1,small,12.24,83.94,71.7
66,Lola_02,4,NA,1,small,12.24,23.18,10.94
67,Lola_02,5,NA,1,small,12.24,30.06,17.82
68,Lola_02,6,NA,1,small,12.24,13.18,0.94
69,Lola_02,7,NA,1,small,12.24,19.4,7.16
70,Lola_02,8,NA,1,small,12.24,24.61,12.37
71,Lola_03,1,NA,1,small,12.24,75.31,63.07
72,Lola_03,2,NA,1,small,12.24,195.37,183.13
73,Lola_03,7,NA,1,small,12.24,21.26,9.02
74,Lola_03,8,NA,1,small,12.24,14.1,1.86
75,Lola_04,1,NA,1,small,12.24,26.87,14.63
76,Lola_04,2,NA,1,small,12.24,47.61,35.37
77,Lola_04,3,NA,1,large,44.86,374.92,330.06
78,Lola_04,4,NA,1,large,44.86,274.25,229.39
79,Lola_04,5,NA,1,large,44.86,241.66,196.8
80,Lola_04,6,NA,1,small,12.24,84.34,72.1
81,Lola_04,7,NA,1,large,44.86,124.76,79.9
82,Lola_04,8,NA,1,small,12.24,135.45,123.21
83,Lola_05,1,NA,1,small,12.24,200.25,188.01
84,Lola_05,2,NA,1,small,12.24,46.41,34.17
85,Lola_05,3,NA,1,large,44.86,250.89,206.03
86,Lola_05,4,NA,1,small,12.24,59.44,47.2
87,Lola_05,5,NA,1,large,44.86,414.31,369.45
88,Lola_05,6,NA,1,small,12.24,97.18,84.94
89,Lola_05,7,NA,1,large,44.86,193.22,148.36
90,Lola_05,8,NA,1,large,44.86,302.27,257.41
91,Lola_06,2,NA,1,small,12.24,28.3,16.06
92,Lola_06,4,NA,1,small,12.24,29.49,17.25
93,Lola_06,5,NA,1,small,12.24,20.6,8.36
94,Lola_06,6,NA,1,small,12.24,19.77,7.53
